,0,1,2,3,4,5,6,7,8,9,mean,median,std
UBB,3.0,3.0,4.0,5.0,4.0,3.0,2.0,5.0,3.0,3.0,3.5,3.0,0.8908201872772114
PIP4K2A,1.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,2.7,3.0,0.9621235981836317
PSMF1,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.2,3.0,0.5749835307259336
MYO1G,2.0,4.0,2.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,2.7,3.0,0.8624752960889005
GLRX5,2.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,3.3,3.0,0.8624752960889005
DDX39B,4.0,1.0,4.0,5.0,2.0,1.0,2.0,3.0,1.0,5.0,2.8,2.8,1.464737022627115
ASCC2,1.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,2.6,2.6,1.0617310051386497
SF3B2,3.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,3.0,2.5,2.5,0.7687061147858074
AP2M1,4.0,2.0,4.0,1.0,0.0,3.0,3.0,2.0,3.0,2.0,2.4,2.4,1.1441551070947107
FAM210B,1.0,3.0,2.0,4.0,4.0,4.0,0.0,3.0,2.0,1.0,2.4,2.4,1.2933395813657265
HEXD-IT1,4.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,3.0,3.0,2.3,2.0,0.9621235981836317
CYFIP2,2.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,2.6,2.0,0.7821880731756153
WDR31,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.8,2.0,0.7158381398222943
EIF1,1.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.8,2.0,0.7158381398222943
ENSG00000287271,1.0,2.0,2.0,2.0,0.0,1.0,3.0,1.0,2.0,2.0,1.6,2.0,0.7714606374608591
BAG6,2.0,0.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,4.0,2.2,2.0,1.1134167996293973
HPS1,2.0,1.0,5.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,2.3,2.0,1.2856727987534562
ENSG00000286928,2.0,0.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.8,2.0,0.8332121123954117
HSP90AA1,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.9,2.0,0.7925314256268079
VPS28,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0,2.5,2.0,0.8908201872772114
CD74,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,1.9,2.0,0.8999579114737768
C9orf78,3.0,2.0,1.0,2.0,3.0,2.0,5.0,2.0,1.0,2.0,2.3,2.0,1.0523782589924595
FBXO7,3.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,2.1,2.0,0.8999579114737769
DGKZ,4.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.3,2.0,0.8624752960889003
YBX3,0.0,2.0,4.0,2.0,0.0,3.0,1.0,3.0,2.0,0.0,1.7,2.0,1.2856727987534564
AP1S3,2.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0,1.8,1.8,1.1119188982851387
ZFP36L2,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.4,1.0,0.4811602139777888
minimize_accuarcy,0.5013054830287206,0.5013054830287206,0.5013054830287206,0.5013054830287206,0.5013054830287206,0.5013054830287206,0.5013054830287206,0.5013054830287206,0.5013054830287206,0.5013054830287206,,,
minimize_f1_score,0.5000042749467049,0.5000784473849887,0.5000404613968046,0.5004450752135036,0.5000483446550432,0.5000469270014768,0.5000421749115168,0.5001166396846407,0.500013204111019,0.5000530931184102,,,
minimize_auc,0.5007378013692407,0.5000950321790396,0.5038509141107904,0.5045538037709347,0.5028016570789287,0.50099426449723,0.5009636004342013,0.5005783610897612,0.501658144766383,0.5005231872487602,,,
minimize_outliers,345.0,345.0,345.0,345.0,345.0,345.0,345.0,346.0,346.0,346.0,,,
minimize_groups_qty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
mean,0.5006825197815554,0.5004929875309163,0.5017322861787719,0.5021014540043863,0.5013851615875641,0.5007822248424758,0.5007704194581463,0.5006668279343741,0.5009922773020409,0.500627254465297,,,
median,0.5007378013692407,0.5000950321790396,0.5013054830287206,0.5013054830287206,0.5013054830287206,0.50099426449723,0.5009636004342013,0.5005783610897612,0.5013054830287206,0.5005231872487602,,,
std,0.0006523631340200948,0.0007036906026888376,0.0019407493831123004,0.0021669309945725685,0.0013783845002157465,0.0006555237828020555,0.0006534340187657984,0.0005993387282143425,0.0008660431919575811,0.0006326473038195205,,,
